IE_NAME;IE_XML_ID;IE_ID;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT_TYPE;CV_PRICE_1;CV_CURRENCY_1;IC_GROUP0
"Лаура ""Виноград"" 28084 бренди 250 мл";12010/28084/250;5637186848;Text;\upload\images\00002658.jpg;Text;2 887.00;RUB;Стекло выдувное
"Crystalite ""Гарландо"" 99J63 Сахарница 18 см";5K824/1/99J63/180;5637186853;Text;\upload\images\00002015.jpg;Text;549.00;RUB;Стекло выдувное
"Crystalite ""Гарландо"" 99J63 Тарелка д/торта 30,5 см";6K933/0/99J63/305;5637186855;Text;\upload\images\00002739.jpg;Text;624.00;RUB;Стекло выдувное
"Фигурка""Кит""12.0см";79892/99505/12;5637183338;Text;\upload\images\00009378.jpg;Text;390.00;RUB;Стекло выдувное
"Фигурка""Акула""12.0см";79893/99506/12;5637183339;Text;\upload\images\00009377.jpg;Text;390.00;RUB;Стекло выдувное
"Фигурка""Касатка""12.0см";79894/99507/12;5637183340;Text;\upload\images\00009376.jpg;Text;390.00;RUB;Стекло выдувное
ХР Пепельница 18см;79A54/99747/18;5637183342;Text;;Text;633.00;RUB;Стекло выдувное
"Crystalite ""Палома"" 99G72 Ваза 20,5 см";8KB93/0/99G72/205;5637186856;Text;\upload\images\00029820.JPG;Text;424.00;RUB;Стекло выдувное
"Crystalite ""Гарландо"" 99J63 Ваза 25,5 см";8KC91/0/99J63/255;5637186850;Text;\upload\images\00013397.jpg;Text;199.00;RUB;Стекло выдувное
Heritage*7 Наб.ликер/граф+6р;99999/9/35054/647;5637172577;Text;\upload\images\00007497.jpg;Text;999.00;RUB;Стекло выдувное
Heritage*3 Наб.д/ дам/фужер220мл*2+подсвечник 18см;99999/9/57001/723;5637186626;Text;\upload\images\00001175.jpg;Text;999.00;RUB;Стекло выдувное
